order_id,customer_id,country,product,order_date,sales_amount
1,USA_000001,USA,Socks,2024-01-02,2
2,USA_000002,USA,Socks,2024-01-03,3
3,USA_000003,USA,T-Shirt,2024-01-04,4
4,USA_000004,USA,Socks,2024-01-05,5
5,USA_000005,USA,Socks,2024-01-06,6
6,USA_000006,USA,T-Shirt,2024-01-07,7
7,USA_000007,USA,Socks,2024-01-08,8
8,USA_000008,USA,Socks,2024-01-09,9
9,USA_000009,USA,T-Shirt,2024-01-10,10
10,USA_000010,USA,Socks,2024-01-11,11
11,USA_000011,USA,Socks,2024-01-12,12
12,USA_000012,USA,T-Shirt,2024-01-13,13
13,USA_000013,USA,Socks,2024-01-14,14
14,USA_000014,USA,Socks,2024-01-15,15
15,USA_000015,USA,T-Shirt,2024-01-16,16
16,USA_000016,USA,Socks,2024-01-17,17
17,USA_000017,USA,Socks,2024-01-18,18
18,USA_000018,USA,T-Shirt,2024-01-19,19
19,USA_000019,USA,Socks,2024-01-20,20
20,USA_000020,USA,Socks,2024-01-21,21
21,USA_000021,USA,T-Shirt,2024-01-22,22
22,USA_000022,USA,Socks,2024-01-23,23
23,USA_000023,USA,Socks,2024-01-24,24
24,USA_000024,USA,T-Shirt,2024-01-25,25
25,USA_000025,USA,Socks,2024-01-26,26
26,USA_000026,USA,Socks,2024-01-27,27
27,USA_000027,USA,T-Shirt,2024-01-28,28
28,USA_000028,USA,Socks,2024-01-01,29
29,USA_000029,USA,Socks,2024-01-02,30
30,USA_000030,USA,T-Shirt,2024-01-03,31
31,USA_000031,USA,Socks,2024-01-04,32
32,USA_000032,USA,Socks,2024-01-05,33
33,USA_000033,USA,T-Shirt,2024-01-06,34
34,USA_000034,USA,Socks,2024-01-07,35
35,USA_000035,USA,Socks,2024-01-08,36
36,USA_000036,USA,T-Shirt,2024-01-09,37
37,USA_000037,USA,Socks,2024-01-10,38
38,USA_000038,USA,Socks,2024-01-11,39
39,USA_000039,USA,T-Shirt,2024-01-12,40
40,USA_000040,USA,Socks,2024-01-13,41
41,USA_000041,USA,Socks,2024-01-14,42
42,USA_000042,USA,T-Shirt,2024-01-15,43
43,USA_000043,USA,Socks,2024-01-16,44
44,USA_000044,USA,Socks,2024-01-17,45
45,USA_000045,USA,T-Shirt,2024-01-18,46
46,USA_000046,USA,Socks,2024-01-19,47
47,USA_000047,USA,Socks,2024-01-20,48
48,USA_000048,USA,T-Shirt,2024-01-21,49
49,USA_000049,USA,Socks,2024-01-22,50
50,USA_000050,USA,Socks,2024-01-23,51
51,USA_000051,USA,T-Shirt,2024-01-24,52
52,USA_000052,USA,Socks,2024-01-25,53
53,USA_000053,USA,Socks,2024-01-26,54
54,USA_000054,USA,T-Shirt,2024-01-27,55
55,USA_000055,USA,Socks,2024-01-28,56
56,USA_000056,USA,Socks,2024-01-01,57
57,USA_000057,USA,T-Shirt,2024-01-02,58
58,USA_000058,USA,Socks,2024-01-03,59
59,USA_000059,USA,Socks,2024-01-04,60
60,USA_000060,USA,T-Shirt,2024-01-05,61
61,USA_000061,USA,Socks,2024-01-06,62
62,USA_000062,USA,Socks,2024-01-07,63
63,USA_000063,USA,T-Shirt,2024-01-08,64
64,USA_000064,USA,Socks,2024-01-09,65
65,USA_000065,USA,Socks,2024-01-10,66
66,USA_000066,USA,T-Shirt,2024-01-11,67
67,USA_000067,USA,Socks,2024-01-12,68
68,USA_000068,USA,Socks,2024-01-13,69
69,USA_000069,USA,T-Shirt,2024-01-14,70
70,USA_000070,USA,Socks,2024-01-15,71
71,USA_000071,USA,Socks,2024-01-16,72
72,USA_000072,USA,T-Shirt,2024-01-17,73
73,USA_000073,USA,Socks,2024-01-18,74
74,USA_000074,USA,Socks,2024-01-19,75
75,USA_000075,USA,T-Shirt,2024-01-20,76
76,USA_000076,USA,Socks,2024-01-21,77
77,USA_000077,USA,Socks,2024-01-22,78
78,USA_000078,USA,T-Shirt,2024-01-23,79
79,USA_000079,USA,Socks,2024-01-24,80
80,USA_000080,USA,Socks,2024-01-25,81
81,USA_000081,USA,T-Shirt,2024-01-26,82
82,USA_000082,USA,Socks,2024-01-27,83
83,USA_000083,USA,Socks,2024-01-28,84
84,USA_000084,USA,T-Shirt,2024-01-01,85
85,USA_000085,USA,Socks,2024-01-02,86
86,USA_000086,USA,Socks,2024-01-03,87
87,USA_000087,USA,T-Shirt,2024-01-04,88
88,USA_000088,USA,Socks,2024-01-05,89
89,USA_000089,USA,Socks,2024-01-06,90
90,USA_000090,USA,T-Shirt,2024-01-07,91
91,USA_000091,USA,Socks,2024-01-08,92
92,USA_000092,USA,Socks,2024-01-09,93
93,USA_000093,USA,T-Shirt,2024-01-10,94
94,USA_000094,USA,Socks,2024-01-11,95
95,USA_000095,USA,Socks,2024-01-12,96
96,USA_000096,USA,T-Shirt,2024-01-13,97
97,USA_000097,USA,Socks,2024-01-14,98
98,USA_000098,USA,Socks,2024-01-15,99
99,USA_000099,USA,T-Shirt,2024-01-16,100
100,USA_000100,USA,Socks,2024-01-17,101
101,USA_000101,USA,Socks,2024-01-18,102
102,USA_000102,USA,T-Shirt,2024-01-19,103
103,USA_000103,USA,Socks,2024-01-20,104
104,USA_000104,USA,Socks,2024-01-21,105
105,USA_000105,USA,T-Shirt,2024-01-22,106
106,USA_000106,USA,Socks,2024-01-23,107
107,USA_000107,USA,Socks,2024-01-24,108
108,USA_000108,USA,T-Shirt,2024-01-25,109
109,USA_000109,USA,Socks,2024-01-26,110
110,USA_000110,USA,Socks,2024-01-27,111
111,USA_000111,USA,T-Shirt,2024-01-28,112
112,USA_000112,USA,Socks,2024-01-01,113
113,USA_000113,USA,Socks,2024-01-02,114
114,USA_000114,USA,T-Shirt,2024-01-03,115
115,USA_000115,USA,Socks,2024-01-04,116
116,USA_000116,USA,Socks,2024-01-05,117
117,USA_000117,USA,T-Shirt,2024-01-06,118
118,USA_000118,USA,Socks,2024-01-07,119
119,USA_000119,USA,Socks,2024-01-08,120
120,USA_000120,USA,T-Shirt,2024-01-09,121
121,USA_000121,USA,Socks,2024-01-10,122
122,USA_000122,USA,Socks,2024-01-11,123
123,USA_000123,USA,T-Shirt,2024-01-12,124
124,USA_000124,USA,Socks,2024-01-13,125
125,USA_000125,USA,Socks,2024-01-14,126
126,USA_000126,USA,T-Shirt,2024-01-15,127
127,USA_000127,USA,Socks,2024-01-16,128
128,USA_000128,USA,Socks,2024-01-17,129
129,USA_000129,USA,T-Shirt,2024-01-18,130
130,USA_000130,USA,Socks,2024-01-19,131
131,USA_000131,USA,Socks,2024-01-20,132
132,USA_000132,USA,T-Shirt,2024-01-21,133
133,USA_000133,USA,Socks,2024-01-22,134
134,USA_000134,USA,Socks,2024-01-23,135
135,USA_000135,USA,T-Shirt,2024-01-24,136
136,USA_000136,USA,Socks,2024-01-25,137
137,USA_000137,USA,Socks,2024-01-26,138
138,USA_000138,USA,T-Shirt,2024-01-27,139
139,USA_000139,USA,Socks,2024-01-28,140
140,USA_000140,USA,Socks,2024-01-01,141
141,USA_000141,USA,T-Shirt,2024-01-02,142
142,USA_000142,USA,Socks,2024-01-03,143
143,USA_000143,USA,Socks,2024-01-04,144
144,USA_000144,USA,T-Shirt,2024-01-05,145
145,USA_000145,USA,Socks,2024-01-06,146
146,USA_000146,USA,Socks,2024-01-07,147
147,USA_000147,USA,T-Shirt,2024-01-08,148
148,USA_000148,USA,Socks,2024-01-09,149
149,USA_000149,USA,Socks,2024-01-10,150
150,USA_000150,USA,T-Shirt,2024-01-11,151
151,USA_000151,USA,Socks,2024-01-12,152
152,USA_000152,USA,Socks,2024-01-13,153
153,USA_000153,USA,T-Shirt,2024-01-14,154
154,USA_000154,USA,Socks,2024-01-15,155
155,USA_000155,USA,Socks,2024-01-16,156
156,USA_000156,USA,T-Shirt,2024-01-17,157
157,USA_000157,USA,Socks,2024-01-18,158
158,USA_000158,USA,Socks,2024-01-19,159
159,USA_000159,USA,T-Shirt,2024-01-20,160
160,USA_000160,USA,Socks,2024-01-21,161
161,USA_000161,USA,Socks,2024-01-22,162
162,USA_000162,USA,T-Shirt,2024-01-23,163
163,USA_000163,USA,Socks,2024-01-24,164
164,USA_000164,USA,Socks,2024-01-25,165
165,USA_000165,USA,T-Shirt,2024-01-26,166
166,USA_000166,USA,Socks,2024-01-27,167
167,USA_000167,USA,Socks,2024-01-28,168
168,USA_000168,USA,T-Shirt,2024-01-01,169
169,USA_000169,USA,Socks,2024-01-02,170
170,USA_000170,USA,Socks,2024-01-03,171
171,USA_000171,USA,T-Shirt,2024-01-04,172
172,USA_000172,USA,Socks,2024-01-05,173
173,USA_000173,USA,Socks,2024-01-06,174
174,USA_000174,USA,T-Shirt,2024-01-07,175
175,USA_000175,USA,Socks,2024-01-08,176
176,USA_000176,USA,Socks,2024-01-09,177
177,USA_000177,USA,T-Shirt,2024-01-10,178
178,USA_000178,USA,Socks,2024-01-11,179
179,USA_000179,USA,Socks,2024-01-12,180
180,USA_000180,USA,T-Shirt,2024-01-13,181
181,USA_000181,USA,Socks,2024-01-14,182
182,USA_000182,USA,Socks,2024-01-15,183
183,USA_000183,USA,T-Shirt,2024-01-16,184
184,USA_000184,USA,Socks,2024-01-17,185
185,USA_000185,USA,Socks,2024-01-18,186
186,USA_000186,USA,T-Shirt,2024-01-19,187
187,USA_000187,USA,Socks,2024-01-20,188
188,USA_000188,USA,Socks,2024-01-21,189
189,USA_000189,USA,T-Shirt,2024-01-22,190
190,USA_000190,USA,Socks,2024-01-23,191
191,USA_000191,USA,Socks,2024-01-24,192
192,USA_000192,USA,T-Shirt,2024-01-25,193
193,USA_000193,USA,Socks,2024-01-26,194
194,USA_000194,USA,Socks,2024-01-27,195
